Wavelength (nm),Scan_ID 1
311.3714083160095,20781.0
314.08175838575823,21293.0
316.7889009055516,20832.0
319.4928136168536,20021.0
322.193474106527,18648.0
324.89085980707335,18040.0
327.584947996873,17784.0
330.2757158004244,18176.0
332.96314018858544,18200.0
335.64719797881236,18846.0
338.3278658354001,19913.0
341.00512026972245,20985.0
343.6789376404716,21934.0
346.3492941538988,23622.0
349.0161658640538,24768.0
351.67952867302506,25355.0
354.3393583311798,25497.0
356.99563043740403,25833.0
359.64832043934217,27840.0
362.29740363363766,29334.0
364.94285516617225,28171.0
367.58465003230697,25793.0
370.22276307712116,22811.0
372.8571689956528,21511.0
375.4878423331387,21942.0
378.1147574852545,23397.0
380.7378886983542,25184.0
383.3572100697109,27488.0
385.9726955477562,29680.0
388.5843189323203,32325.0
391.19205387487244,35216.0
393.7958738787601,37824.0
396.3957522994497,39648.0
398.99166234476667,40569.0
401.5835770751346,39539.0
404.17146940381593,39857.0
406.755312097152,40337.0
409.3350777748028,40578.0
411.91073890998695,40466.0
414.4822678297216,40294.0
417.049636715063,40779.0
419.6128176013458,43002.0
422.1717823784235,46365.0
424.7265027909081,48998.0
427.27695043841055,50515.0
429.82309677578036,49093.0
432.3649131133457,47298.0
434.9023706171538,45511.0
437.43544030921004,44701.0
439.96409306771875,46606.0
442.48829962732304,48749.0
445.0080305793449,50854.0
447.5232563720243,53330.0
450.033947310761,54134.0
452.5400735583523,55478.0
455.04160513523505,55321.0
457.5385119197244,55687.0
460.0307636482544,56003.0
462.51832991561764,56765.0
465.0011801752056,56475.0
467.4792837392483,55125.0
469.9526097790544,52112.0
472.42112732525146,49184.0
474.8848052680257,47288.0
477.34361235736174,46717.0
479.7975172032836,48347.0
482.24648827609315,50360.0
484.6904939066116,55458.0
487.12950228641853,58954.0
489.56348146809233,59997.0
491.9923993654502,56778.0
494.4162237537878,49442.0
496.8349222701196,43545.0
499.2484624134188,37680.0
501.6568115448574,33043.0
504.05993688804597,30787.0
506.4578055292736,29225.0
508.8503844177486,27865.0
511.2376403658374,27933.0
513.6195400493054,28250.0
515.9960500075572,28986.0
518.367136643875,29725.0
520.7327662256605,31553.0
523.0929048846738,32486.0
525.4475186172741,35277.0
527.7965732846587,37431.0
530.1400346131041,39926.0
532.4778681942053,40839.0
534.8100394851159,39873.0
537.1365138087885,37551.0
539.4572563542139,35081.0
541.7722321766622,33873.0
544.081406197922,31888.0
546.3847432065401,30509.0
548.6822078580627,28408.0
550.9737646752745,25533.0
553.2593780484389,23478.0
555.5390122355375,22680.0
557.8126313625115,20946.0
560.0801994235,20467.0
562.3416802810813,20291.0
564.5970376665123,20118.0
566.8462351799682,20472.0
569.0892362907836,20533.0
571.3260043376913,20747.0
573.5565025290629,20729.0
575.7806939431488,20542.0
577.9985415283179,19377.0
580.2100081032985,19170.0
582.4150563574163,18256.0
584.613648850837,17779.0
586.805748014804,17417.0
588.9913161518801,17320.0
591.1703154361868,17408.0
593.3427079136435,18064.0
595.5084555022092,18795.0
597.6675199921212,18985.0
599.8198630461358,18858.0
601.9654461997673,18923.0
604.1042308615296,18843.0
606.2361783131747,18630.0
608.3612497099331,18475.0
610.479406080755,17752.0
612.5906083285481,17344.0
614.6948172304199,16680.0
616.7919934379157,16150.0
618.8820974772601,15449.0
620.9650897495959,15370.0
623.0409305312252,15186.0
625.1095799738484,15178.0
627.1709981048044,14961.0
629.2251448273114,15144.0
631.2719799207059,15128.0
633.3114630406833,14591.0
635.3435537195373,14054.0
637.3682113664008,13693.0
639.3853952674851,13147.0
641.3950645863205,12706.0
643.3971783639955,12378.0
645.3916955193977,12170.0
647.3785748494533,11891.0
649.3577750293674,11449.0
651.3292546128632,11821.0
653.2929720324233,11670.0
655.2488855995288,11512.0
657.196953504899,11563.0
659.1371338187328,11487.0
661.0693844909471,11159.0
662.9936633514176,11003.0
664.9099281102187,10406.0
666.818136357864,9881.0
668.7182455655453,10064.0
670.610213085373,9779.0
672.4939961506166,9654.0
674.369551875944,9577.0
676.2368372576622,9562.0
678.0958091739562,9379.0
679.9464243851306,9112.0
681.7886395338479,9277.0
683.6224111453695,9163.0
685.4476956277961,8533.0
687.2644492723065,8375.0
689.0726282533979,8171.0
690.8721886291272,8080.0
692.663086341349,7904.0
694.4452772159573,7817.0
696.2187169631246,8131.0
697.9833611775417,7894.0
699.7391653386587,7912.0
701.4860848109244,7357.0
703.2240748440254,7232.0
704.9530905731282,7062.0
706.6730870191171,6496.0
708.3840190888359,6387.0
710.0858415753262,6568.0
711.7785091580688,6267.0
713.4619764032235,6291.0
715.1361977638682,6086.0
716.8011275802396,5984.0
718.4567200799737,5462.0
720.1029293783442,5429.0
721.7397094785047,5603.0
723.3670142717265,5435.0
724.9847975376399,5413.0
726.5930129444743,5221.0
728.1916140492972,5366.0
729.7805542982551,4920.0
731.3597870268131,4787.0
732.9292654599955,4954.0
734.4889427126244,4917.0
736.0387717895612,4686.0
737.5787055859462,4355.0
739.1086968874375,4576.0
740.628698370453,4216.0
742.1386626024085,4392.0
743.638542041959,4210.0
745.1282890392379,4200.0
746.6078558360972,3989.0
748.0771945663481,4104.0
749.536257256,3967.0
750.9849958235013,3841.0
752.4233620799789,3886.0
753.8513077294785,3802.0
755.2687843692048,3746.0
756.6757434897606,3767.0
758.0721364753877,3840.0
759.4579146042066,3550.0
760.8330290484566,3376.0
762.1974308747357,3427.0
763.5510710442404,3163.0
764.8939004130059,3135.0
766.2258697321464,2966.0
767.5469296480946,2850.0
768.8570307028418,2698.0
770.1561233341782,2600.0
771.4441578759328,2653.0
772.7210845582126,2624.0
773.9868535076445,2778.0
775.2414147476129,2655.0
776.4847181985016,2600.0
777.716713677933,2435.0
778.937350901008,2746.0
780.1465794805465,2384.0
781.3443489273269,2409.0
782.5306086503261,2376.0
783.7053079569602,2168.0
784.8683960533237,2170.0
786.0198220444298,2322.0
787.1595349344504,2357.0
788.2874836269561,2355.0
789.4036169251566,2218.0
790.5078835321397,2053.0
791.6002320511119,2168.0
792.680610985639,2288.0
793.748968739885,2197.0
794.8052536188527,2128.0
795.8494138286239,2389.0
796.8813974765987,2542.0
797.901152571736,2816.0
798.9086270247935,3032.0
799.9037686485676,3391.0
800.8865251581337,3525.0
801.8568441710848,3957.0
802.8146732077739,3915.0
803.7599596915521,4062.0
804.6926509490091,3813.0
805.6126942102138,3968.0
806.5200366089531,3617.0
807.4146251829733,3227.0
808.2964068742189,2777.0
809.1653285290731,2592.0
810.0213368985985,2368.0
810.8643786387753,2352.0
811.6944003107434,2035.0
812.5113483810409,1665.0
813.3151692218445,1745.0
814.1058091112099,1681.0
814.8832142333115,1483.0
815.6473306786821,1304.0
816.3981044444536,1274.0
817.1354814345963,1136.0
817.8594074601592,1015.0
818.5698282395102,937.0
819.2666893985759,905.0
819.9499364710814,885.0
820.6195148987904,800.0
821.2753700317458,1104.0
821.9174471285088,877.0
822.5456913563995,842.0
823.1600477917364,846.0
823.760461420077,894.0
824.3468771364576,920.0
824.9192397456327,808.0
825.4774939623161,1032.0
826.02158441142,807.0
826.5514556282951,878.0
827.0670520589711,928.0
827.5683180603965,885.0
828.055197900678,938.0
828.5276357593215,867.0
828.9855757274715,1170.0
829.4289618081514,1315.0
829.8577379165023,1408.0
830.2718478800255,1416.0
830.6712354388195,1653.0
831.0558442458226,1694.0
831.4256178670518,1601.0
831.7804997818419,1581.0
